iter	Passed	Remaining
0	114	57000
1	170	42521
2	209	34628
3	254	31614
4	294	29134
5	317	26165
6	353	24878
7	392	24143
8	425	23219
9	459	22507
10	483	21502
11	512	20828
12	539	20197
13	568	19723
14	607	19630
15	638	19315
16	666	18950
17	717	19207
18	770	19516
19	833	20000
20	892	20366
21	936	20336
22	1003	20810
23	1056	20956
24	1096	20834
25	1135	20699
26	1176	20610
27	1211	20414
28	1243	20198
29	1277	20009
30	1313	19875
31	1362	19920
32	1389	19659
33	1420	19465
34	1453	19312
35	1482	19113
36	1515	18966
37	1550	18846
38	1583	18722
39	1618	18618
40	1653	18515
41	1691	18446
42	1726	18347
43	1752	18160
44	1777	17976
45	1816	17928
46	1848	17814
47	1879	17700
48	1898	17476
49	1918	17270
50	1953	17195
51	2013	17343
52	2033	17147
53	2065	17058
54	2099	16984
55	2126	16858
56	2146	16678
57	2178	16601
58	2205	16485
59	2239	16419
60	2267	16319
61	2301	16261
62	2340	16234
63	2370	16150
64	2396	16039
65	2429	15974
66	2461	15909
67	2499	15882
68	2526	15778
69	2560	15731
70	2599	15704
71	2637	15679
72	2668	15609
73	2707	15587
74	2736	15504
75	2770	15455
76	2819	15489
77	2841	15370
78	2885	15376
79	2942	15447
80	2985	15443
81	3020	15394
82	3042	15287
83	3075	15229
84	3110	15187
85	3136	15097
86	3166	15033
87	3192	14945
88	3217	14860
89	3259	14850
90	3311	14883
91	3346	14840
92	3366	14730
93	3393	14658
94	3432	14635
95	3472	14615
96	3497	14531
97	3529	14477
98	3565	14441
99	3591	14364
100	3624	14317
101	3653	14257
102	3695	14243
103	3720	14166
104	3747	14098
105	3780	14051
106	3811	14000
107	3855	13992
108	3896	13977
109	3927	13923
110	3966	13901
111	3994	13838
112	4033	13815
113	4068	13775
114	4118	13786
115	4166	13792
116	4192	13724
117	4219	13660
118	4254	13622
119	4273	13532
120	4307	13493
121	4335	13432
122	4355	13349
123	4382	13287
124	4407	13223
125	4431	13153
126	4459	13098
127	4484	13033
128	4507	12962
129	4531	12898
130	4560	12846
131	4594	12809
132	4622	12756
133	4648	12697
134	4683	12662
135	4716	12623
136	4740	12560
137	4766	12502
138	4792	12446
139	4822	12400
140	4853	12356
141	4892	12334
142	4956	12372
143	4997	12355
144	5049	12363
145	5089	12340
146	5113	12279
147	5151	12251
148	5181	12207
149	5214	12166
150	5241	12115
151	5269	12063
152	5308	12039
153	5333	11983
154	5369	11950
155	5404	11918
156	5439	11883
157	5472	11846
158	5504	11806
159	5531	11755
160	5558	11703
161	5592	11667
162	5625	11631
163	5653	11582
164	5684	11540
165	5712	11493
166	5737	11441
167	5765	11394
168	5792	11345
169	5827	11311
170	5851	11257
171	5925	11300
172	5949	11244
173	5967	11181
174	5997	11137
175	6029	11100
176	6062	11062
177	6086	11011
178	6121	10978
179	6146	10927
180	6175	10883
181	6205	10842
182	6230	10793
183	6274	10775
184	6303	10733
185	6328	10684
186	6360	10646
187	6393	10610
188	6422	10567
189	6454	10530
190	6491	10501
191	6518	10456
192	6554	10426
193	6585	10387
194	6619	10352
195	6652	10317
196	6686	10283
197	6713	10239
198	6740	10194
199	6787	10180
200	6815	10138
201	6847	10101
202	6891	10082
203	6947	10081
204	6992	10062
205	7029	10032
206	7059	9992
207	7092	9956
208	7119	9912
209	7147	9870
210	7177	9830
211	7213	9799
212	7232	9745
213	7264	9708
214	7293	9668
215	7316	9619
216	7342	9575
217	7371	9535
218	7395	9488
219	7427	9453
220	7452	9408
221	7483	9371
222	7520	9341
223	7547	9299
224	7587	9274
225	7611	9228
226	7649	9199
227	7686	9169
228	7718	9133
229	7758	9107
230	7789	9070
231	7818	9031
232	7851	8996
233	7882	8960
234	7910	8920
235	7930	8871
236	7970	8845
237	8012	8820
238	8037	8777
239	8078	8751
240	8109	8714
241	8131	8669
242	8157	8627
243	8186	8588
244	8214	8549
